window_size,time_delta,flags_urg,ack,stream,checksum_status,seq,len,flags_res,hdr_len,dstport,flags_push,flags_ns,flags_ack,time_relative,flags_fin,port,window_size_value,flags_ecn,nxtseq,srcport,urgent_pointer,flags_syn,flags_cwr,flags_reset,class
502784,0,338857,338857,0,2,0,0,32,4.16E-06,57984,0,0,1,0.006478866,0,5566,982,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,39096,0,32,1.60E-05,5566,0,0,1,0.006494868,0,57984,83,0,377953,57984,0,0,0,0,1
502784,0,377953,377953,0,2,0,0,32,1.52E-05,57984,0,0,1,0.006510077,0,5566,982,0,1,5566,0,0,0,0,1
512,0,0,1760987950,101,2,1,0,0,20,0,0,0,0,0,0,1547,512,0,1,1547,0,0,0,0,0
512,0,0,519006437,102,2,1,0,0,20,0,0,0,0,0,0,1548,512,0,1,1548,0,0,0,0,0
42496,0,1,1,0,2,20272,0,32,0.000551528,5566,0,0,1,0.003590574,0,57984,83,0,288177,57984,0,0,0,0,1
512,0,0,1419163492,98,2,1,0,0,20,0,0,0,0,0,0,1544,512,0,1,1544,0,0,0,0,0
512,0,0,4555861,99,2,1,0,0,20,0,0,0,0,0,0,1545,512,0,1,1545,0,0,0,0,0
512,0,0,276334426,100,2,1,0,0,20,0,0,0,0,0,0,1546,512,0,1,1546,0,0,0,0,0
512,0,0,1649592331,92,2,1,0,0,20,0,0,0,0,0,0,1538,512,0,1,1538,0,0,0,0,0
1975808,0,5045921,5045921,0,2,0,0,32,1.62E-05,57984,0,0,1,0.022083074,0,5566,3859,0,1,5566,0,0,0,0,1
